"","Movie_title","Reviewer","DateReviews","Stars","Textreviews","TitleReviews"
"1","11. Forrest Gump","george.schmidt","13 March 2003","10/10","FORREST GUMP (1994) **** Tom Hanks, Sally Field, Robin Wright, Gary Sinise, Mykelti Williamson. Brilliantly directed and inspiring comic drama about the truly extraordinary life and times of mentally challenged Forrest Gump (Hanks in the best role of his career won his second Best Actor Oscar in back-to-back winning roles), a simple, honest, and decent man whose childlike innocence is his lucky charm through his altering experiences that span the past two decades flawlessly. Mind-boggling Oscar-winning computerized effects by Industrial Light & Magic has Gump meeting the famous and infamous. Hanks is a wonder (dare you not to get a lump in your throat when it finally registers that he has a child {yes, that's Haley Joel Osment}- watch his face!) and gets fine support especially Wright as the love of his life and Sinise as his best friend (Best Supporting Actor nominee) superior adaptation of Winston Groom's novel by Eric Roth (also an Academy Award recepient) that truly captures lightning in a bottle. Oscars also went to director Robert Zemeckis and for Best Picture. *** One of my all-time favorite flicks. I still cry, particularly Forrest telling Jenny why he loves her so much (""You're my girl!"") and at the gravesite when the birds fly overhead."," Contemporary classic: one of my all-time faves"
"2","11. Forrest Gump","Xstal","25 December 2020","10/10","... all that is, all that was and all that will ever be, through the life experiences of the titular character performed to perfection by Tom Hanks whose generous performance leaves us humbled and in awe of what we can achieve, how we can achieve it and why we would want that achievement in the first instance. A piece of cinematic storytelling that will perpetually resonate no matter who or what you are, where you are going or who you are going with - timeless."," Encapsulating..."
"3","11. Forrest Gump","schmimic","23 April 2005","9/10","Starring: Tom Hanks, Robin Wright, Gary Sinise, Sally Field This was flat out one of the best movies of 1994. It won best picture for a reason, along with a few other Academy Awards. I think one of the tag lines for the movie was, ""The world will never be the same once you've seen it through the eyes of Forrest Gump."" How true. The movie is basically one simple man's journey through life. And what a journey.The movie opens with Forrest (Hanks) sitting at a bus stop, waiting to go see Jenny (Wright) after being apart from her for years. Who is Jenny, you ask? We'll get to that in a minute. Forrest strikes up a conversation or two with the people that come and wait for the bus with him. Or, more accurately, he keeps talking regardless of whether anybody is listening or not. The movie plays out as a flashback, with Forrest taking us through all the major events of his life and narrating them.The flashback starts when Forrest is a little boy, about six years old or so, just at about the age where he should be starting school. We get to take a look at Forrest's childhood as he gets leg braces to straighten out his back, as his momma (Field) fights (and does a few other things) to get him into public school, and as he meets for the first time the love of his life. Jenny. He meets her on the way to school, sitting next to her on the bus, and they strike up a friendship immediately.Eventually we progress to the point where Forrest and Jenny are in high school, and we travel along with Forrest as he makes it onto the football team and gets to go to college. Forrest and Jenny never date, but he's always there to protect her. Anytime he thinks she's in trouble, he rushes to the rescue, ready to beat the ever-loving snot out of anyone who even looks at his Jenny wrong. I think one of my favorite scenes in the movie is when someone is dumb enough to slap Jenny. The film goes slow motion, Forrest's eyes go wide, and he starts charging at this guy like a runaway locomotive, and has the striking force of one too. Watching him beat the crap out of that guy is hilarious.As Forrest grows up and goes through school, college, the army, a Vietnam tour, becomes a ping pong celebrity, a shrimp boat captain, and eventually one of the richest men out there, he also gets to take a few stops in history as the filmmaker gives us his own spin of how he thinks history would have happened if Forrest Gump were there. He gets to meet the President three times, he's the man who exposes the Watergate scandal, he's at the school doors when Governor George Wallace tries to get some Negroes into a white school, and so on and so forth. It's really funny the way they manipulate historical footage to insert Forrest into the events of the past.This is truly a great movie. You'd be a fool to miss it.Bottom Line: 4 out of 4 (own this movie)"," Tom Hanks delivers an astounding performance as Forrest Gump."
"4","11. Forrest Gump","TheLittleSongbird","22 November 2009","10/10","Forrest Gump, I think is a beautiful film. Never too schmaltzy, but there are some genuine tearjerkers like Forrest at Jenny's grave. The cinematography is stunning, the costumes are lovely and the scenery is gorgeous. The music is also very calm and relaxing, perhaps adding to the tone of this film. The screenplay is well crafted, and the story is simple. But what made this movie was its simplicity; it never tries to be too complex and is consequently moving. The acting is just as impressive; whilst Tom Hanks's accent is a little awkward in places, my only real criticism of this movie, he gives a truly remarkable performance, though I do think Morgan Freeman deserved the Oscar more for Shawshank. Robin Wright gives possibly the best performance of her career, and Sally Field is very dignified as Forrest's mother. The scene stealer though is Gary Sinise as Lieutenant Dan, a very moving and insightful performance. Overall, an extremely good movie, I will admit I wasn't sure whether I would like it, but the simple answer is this, I do. 9/10 Bethany Cox"," Beautiful film"
"5","11. Forrest Gump","kosmasp","12 February 2021","10/10","Take this with a grain of salt and don't be mad about certain things. Like one of the first flashbacks to the very beginning that does not come over preachy when it talks about the Klan (Ku Klux Klan that is, just in case you think I'm talking about any other Klan). Maybe sometime in the near future there will be a disclaimer and someone giving this context. But until then, you have to be educated enough yourself to understand and comprehend certain things. And you have to have a certain sense of humor to dig all the coincidences that Gump comes across at. It's alike a marathon through many landmarks of the short US history we have behind us. Like the Watergate scandal, Vietnam War, Black Panthers and so much more.If you can dig all that and go with the flow, than the chocolate box this opens up for you, will taste quite delicious. It had been quite a while since I saw this the first time, but it still worked its charme to say the least. Great movie, great actors - you have to be in the right mind set and mood though. And be able to forgive certain things ..."," Mama said ..."
"6","11. Forrest Gump","john in missouri","1 December 2007","10/10","I've seen most of the top-voted 30 or 40 movies here at IMDb, and Forrest Gump probably wins my vote for the single best movie ever made.This is not a conclusion I came to the first time I saw this film, or the second. The more you understand about this movie, the more you like it. And in terms of understanding it, my wife and I both were still gaining new understanding the 5th or 6th time we watched it. (For example: Why does Jenny behave exactly as she does throughout the movie? It'll take a lot of thinking to =fully= understand her.)Just the fact that we've seen it at least half a dozen times says a lot. There are few movies that I ever even give a second viewing. Like many of the truly good movies, there are people out there who see it once and consider it to be a waste of time. Such people are usually just looking for the most ""action,"" gore and sex they can find, and haven't a clue about films that actually involve thought, ideas, and life.Did I mention the script is absolutely brilliant? There are a lot of =truly= funny moments. And the music rocks. But those are only specific aspects of a movie that has just about everything else right about it as well.See it, enjoy it, think about it, see it again. Think about it some more. Forrest Gump is one of the greatest movies -- if not THE greatest -- ever made."," Quite possibly the best movie ever made."
"7","11. Forrest Gump","bkoganbing","13 February 2010","10/10","When Tom Hanks won his first Oscar for Philadelphia in 1993 the film received a total of five nominations. His second Oscar for Forrest Gump came in a film that received more than double that in nominations and awards. If Forrest Gump did nothing else it solidified Hanks's credentials as a serious actor. He would never be doing imitations of his Bosom Buddies character in films again.It also among other awards also won for Best Picture and Best director for Robert Zemeckis, richly deserved. The film is Huckleberry Finn like in its canny observations coming from the man who had an IQ we are told of 75. But as Forrest also tells us, ""stupid is as stupid does"". And Forrest with the hand of an unseen providence comes out a lot better than some of the clever people he meets in life.Watching the film once again it occurred to me that Mark Twain if he couldn't have written this himself would have loved the way Zemeckis handled the character of Forrest Gump. The beauty of Huckleberry Finn and the secret of its success is that Twain got into the mind of a child who recorded all the events around him, a child without too much education. What Zemeckis did was get Hanks into a child like mind who sees things with amazing clarity stripped of any veneer of pretense. Which Hanks observes in the people around him and in the events that shape America and himself from Eisenhower to Reagan.There are two prominent female parts in Forrest Gump. One is for Robin Wright who plays the abused child Julie as an adult. She is Forrest's love and best friend and she takes a different path of life one she chose with more deliberation than Hanks. Their fates though eventually entwined are radically different. The second major female role is for another two time Oscar winner Sally Field who now is playing matronly parts, a far cry from Gidget and the Flying Nun. She gives Forrest the maxims he lives by and in a crisis they turn out to be more than sound bite clichés.Another award that Forrest Gump won is for Special Effects and an award it didn't win was for Gary Sinise in the role of Lieutenant Dan Taylor, Forrest's commanding officer in Vietnam. That's something that does not compute because the special effects were to show Gary Sinise as a double amputee with both legs lost in Vietnam.It's some amazing bit of work no doubt about it, but to honor it without Sinise whose performance really brings it off is ridiculous. Sinise is the educated one who curses the fate that happened to him, but in the end by just going with the flow he does prosper in the end. Sinise lost that year in Best Supporting Actor category to Martin Landau for Ed Wood, but I think Sinise's performance has had a more lasting impact.To those Americans who serve our country it certainly has. Gary Sinise has devoted a great deal of his life and earned treasure to bring entertainment to our overseas troops in Iraq, Afghanistan, wherever, becoming a successor to Bob Hope in that regard. He's gone further than that though, setting up foundations to help civilians in both countries and contributing to numerous charities dealing with war and its aftermath. Doing that in my humble opinion Gary Sinise has become one of the great Americans of our brand new millenia, a lot more than just an actor. He's forever now known as Lieutenant Dan.In the end though the film belongs to Tom Hanks who joined with Spencer Tracy as the only two male actors to win back to back Oscars for Best Actor. Hanks fascinates us and guides us through this film and when we're done we've seen something very special.If you don't believe me about how good Forrest Gump is, then watch it for a few minutes and see if you're not sucked in. Like Forrest's mama says, the film's like life which is like a box of chocolates, you never know what you'll get until you open it."""," The Hand Of An Unseen Providence"
"8","11. Forrest Gump","Quinoa1984","1 April 2000","9/10","Winston Groom's Forrest Gump was a novel that was complicated, but (Oscar winning) director Robert Zemeckis brings events together with visual effects that boggle even George Lucas. And leading the film in this odyssey of American life is Tom Hanks playing Gump (he won his second Oscar for his portrayal) in a film that shows one man who goes through many events in history to find the one he loves.  Well done, well acted, and well directed to pythagorean procision. A++"," One of the best films of the 90's"
"9","11. Forrest Gump","ironhorse_iv","30 July 2016","10/10","Based on the 1986 novel by Winston Groom of the same name; Forrest Gump is about a simple man, named Forrest (Tom Hanks) whom with a low I.Q. who goes through life, accidentally being present at many historic moments, while building success for himself, however, never getting with his true love, Jenny Curran (Robin Wright) which mostly seems to be the only thing, that is eluding him. Without spoiling the movie, too much, this feel-good, financial blockbuster was indeed one of my favorite movies from the 1990s. I still quote, act out, & rewatch this movie, even with the downer tragic ending, this film has. I just can't help, loving it, despite the film changing a lot from the source material, like Gump's core personality and size. I kinda like that, he's not an autistic savant. In my opinion, it would be, too jarring. It would be, really too odd and unrealistic to see him, play chess, while being an astronaut, while people still thinking that he's an idiot. I kinda like that the film primarily focuses on the first eleven chapters of the novel, before skipping ahead to the end of the book. The middle part of the book is truly outrageous with Gump fighting off, cannibals, and becoming a pro-wrestler. That was way too out there to be taken seriously! The careers, he got in the film, seems more grounded with the reality of his character and the story. In addition to skipping some parts of the novel, the film adds several aspects to Gump's life that do not occur in the novel, such as his needing leg braces as a child and his run across the United States. Those changes really did help the film, a lot. This movie was also well shot by Robert Zemeckis. It made great use of its locations. I also love the use of CGI techniques to make it look like Tom Hanks was in some of the archive footage with various historical figures. Most of the visual effects in this film were pretty impressing at the time. Yet, I just wish the voice-dubbing was a little better. It doesn't really match well, with the movement of the long-dead historical figure's lips! While, the movie does have a lot of profanity, sex/nudity, drug use and violence for a PG-13. I think it somewhat works with the rebellions style of the 1960s. I also dig the film soundtrack. Great use of many well-known artists of the 1950s & 1960s. It's really does fit with that era of time. Also, the original music that Alan Silvestri made for the film was also beautiful. It fits some well in the film. Not only did that work, but the acting was outstanding. Tom Hanks was amazing as the title character. In other hands, this dim-witted, guileless, Southern-drawling simpleton hero could had turn into a bumbling yet annoying unlikeable offensive mental retarded stereotype. Instead, Hanks makes the fictional character, Gump seem like a real person with real motives and feelings. He really did deserve the Oscar, despite what some critics make say about his performance. Even the supporting cast was well-done. I love all of the characters ranging from 'Bubba' Blue (Mykelti Williamson) to Mrs. Gump (Sally Fields). I even kinda like Jenny, even when the writers made her, somewhat a horrible selfish trouble-person, who leaves Gump with a kid that grew up to be Haley Joan Osment in one of his first movie roles. Then- who can ever forget, Lt. Dan Taylor? This was Gary Sinise finest role. The character development that they gave him, was heart-breaking, yet hopeful. I love his redemption story. The film has this 'ignorance is bliss' philosophy to it; that makes the movie, fun to watch. The satire on contemporary values, during America's mid-20th century accomplishments is truly funny. The historic 'zelig' style jokes are mostly a hit than a miss to the funny. I also like how ambiguous, Forrest's story, as some people believe that he might be an unreliable narrator who whitewashing American history. Yet, I don't think, it's as racist or sexist as some people think, it is. The film is a lot more positive than that. Forrest is a represented of what is innocence and good about the world. He has this, out right decency about himself. He helps his friends if they're in need, even if some of them, take advanced of his hospitality. Forrest Gump is also a surprisingly spiritual story, well-told. A lot of people has stated out, the relationship between Forrest and Jenny echoes the relationship of Hosea and Gomer in the Old Testament; which in return is about, the relationship between God and man. Hints, the white feather that floats through Forrest's life. The movie is about the question of whether we are masters of our own fate or on a path to a predetermined destiny. Another thing, interesting, is how some people has been noted to see some political interpretations which I kinda have to disagree with. While, it seem like Gump follows a very conservative lifestyle, Jenny's life is full of counter-cultural embrace, complete with drug usage, promiscuity, and antiwar rallies, and that their eventual marriage might be a kind of reconciliation between America's extremes political points; I agree with Hanks, the film was non-political and non-judgmental. Forrest Gump isn't about liberal or conservative values. It's about learning to live with your limitations, while also giving it, everything you got. About the film winning best picture in 1994 over films like 'The Shawshank Redemption' & 'Pulp Fiction', I think the movie deserve it. While, on the surface, those other two films look superior better and more mature. In true, 'Forrest Gump' has just as much to give as those films. Also, it's by far, the more entertaining film of the three. Overall: Forrest Gump is like a box of chocolates. It's super sweet."," Life is like a box of chocolates. You never truly know what you're gonna get. Forrest Gump is amazing!"
"10","11. Forrest Gump","adinutzza2001","14 February 2005","10/10","What I find completely ridiculous is why this movie, in my opinion one of the best ever, has such a low rating, so I've tried to figure out what some found against it.I noticed that the haters of this movie who make it have a lower rating than it actually deserves mainly argue that it promotes the government's politics of submission: the idea that ""if you're an idiot but you do what you're told then you will be rewarded, but, if you experience life then you're going to die a miserable death."" I'm not an American myself so i don't have any intention to defend the government or anyone else, but I think that the political events witnessed by the character in the movie make many miss the whole substance of the film. I think these bits of history only add to the magic of the film, making Forrest part of a fantastic world that seems so incredibly real though. How can somebody say that Forrest is just an idiot, an ordinary person who does everything that he is told to do? It appears to me that in fact,in his innocence, Forrest does what he feels he has to do,no matter the situations and the people around him, lead only by an inner sense of right. So what actually seems to be special about Forrest is that, regardless of his intelligence, he has the capacity to discover simple truth and life values that all the others around him miss: he tries to save Bubba endangering his own life, he gives Bubba's family money and mainly displays simple goodness in everything he does. So if you haven't yet seen the movie or you were disappointed by it, try watching it without analyzing things that much and just open your heart towards that world. The brilliant humour, the hilarious yet touching acting, the special effects and the uplifting message are totally rewarding."," why such a low rating???"
